TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,"""+/-"""
OKC,OKC vs. LAC,05/16/2021,W,240,117,50,94,53.2,8,26,30.8,9,16,56.3,14,40,54,20,1,12,15,11,5
LAL,LAL @ NOP,05/16/2021,W,240,110,45,96,46.9,11,35,31.4,9,15,60,8,34,42,30,14,5,10,16,12
NOP,NOP vs. LAL,05/16/2021,L,240,98,37,78,47.4,9,25,36,15,21,71.4,8,39,47,26,4,5,21,18,-12
PHI,PHI vs. ORL,05/16/2021,W,240,128,46,94,48.9,19,40,47.5,17,23,73.9,9,32,41,35,8,5,12,27,11
MEM,MEM @ GSW,05/16/2021,L,240,101,40,92,43.5,6,25,24,15,19,78.9,12,27,39,25,12,5,13,21,-12
ORL,ORL @ PHI,05/16/2021,L,240,117,36,76,47.4,10,28,35.7,35,41,85.4,9,38,47,23,4,3,17,25,-11
GSW,GSW vs. MEM,05/16/2021,W,240,113,41,83,49.4,15,39,38.5,16,18,88.9,12,34,46,26,9,4,20,19,12
DET,DET vs. MIA,05/16/2021,L,240,107,40,86,46.5,11,35,31.4,16,22,72.7,7,26,33,26,4,4,16,21,-13
MIA,MIA @ DET,05/16/2021,W,240,120,47,84,56,13,34,38.2,13,20,65,6,33,39,32,11,5,12,19,13
PHX,PHX @ SAS,05/16/2021,W,240,123,53,104,51,13,35,37.1,4,4,100,10,38,48,36,7,5,8,13,2
DEN,DEN @ POR,05/16/2021,L,240,116,44,98,44.9,14,37,37.8,14,15,93.3,10,26,36,20,8,2,6,20,-16
POR,POR vs. DEN,05/16/2021,W,240,132,46,87,52.9,18,43,41.9,22,26,84.6,11,40,51,24,3,6,14,16,16
DAL,DAL @ MIN,05/16/2021,L,240,121,44,91,48.4,16,38,42.1,17,20,85,11,27,38,32,5,5,16,19,-15
MIN,MIN vs. DAL,05/16/2021,W,240,136,49,90,54.4,17,40,42.5,21,25,84,11,27,38,35,11,4,10,22,15
CLE,CLE @ BKN,05/16/2021,L,240,109,38,85,44.7,12,39,30.8,21,31,67.7,11,34,45,16,8,5,16,14,-14
BKN,BKN vs. CLE,05/16/2021,W,240,123,47,83,56.6,16,30,53.3,13,17,76.5,4,33,37,35,9,9,12,20,14
BOS,BOS @ NYK,05/16/2021,L,240,92,35,86,40.7,11,41,26.8,11,15,73.3,9,37,46,19,4,6,12,19,-4
HOU,HOU @ ATL,05/16/2021,L,240,95,31,92,33.7,18,63,28.6,15,20,75,11,32,43,25,8,5,16,18,-29
TOR,TOR vs. IND,05/16/2021,L,240,113,39,97,40.2,12,38,31.6,23,29,79.3,16,32,48,21,8,3,12,12,-12
IND,IND @ TOR,05/16/2021,W,240,125,48,95,50.5,15,37,40.5,14,18,77.8,10,37,47,34,8,3,13,19,12
ATL,ATL vs. HOU,05/16/2021,W,240,124,49,90,54.4,7,21,33.3,19,26,73.1,11,45,56,32,10,8,13,16,29
NYK,NYK vs. BOS,05/16/2021,W,240,96,34,79,43,13,27,48.1,15,19,78.9,4,37,41,16,7,6,11,17,4
CHA,CHA @ WAS,05/16/2021,L,240,110,37,94,39.4,14,45,31.1,22,24,91.7,10,32,42,25,8,5,13,15,-5
WAS,WAS vs. CHA,05/16/2021,W,240,115,44,91,48.4,10,31,32.3,17,21,81,10,43,53,22,4,3,14,20,5
CHI,CHI vs. MIL,05/16/2021,W,240,118,45,87,51.7,14,32,43.8,14,19,73.7,8,37,45,23,8,8,16,20,6
LAC,LAC @ OKC,05/16/2021,L,240,112,45,106,42.5,10,43,23.3,12,15,80,16,28,44,17,8,3,3,14,-5
UTA,UTA @ SAC,05/16/2021,W,240,121,41,86,47.7,18,39,46.2,21,25,84,9,41,50,28,9,3,16,14,22
SAC,SAC vs. UTA,05/16/2021,L,240,99,42,90,46.7,9,30,30,6,10,60,5,34,39,24,10,5,13,22,-22
MIL,MIL @ CHI,05/16/2021,L,240,112,38,90,42.2,12,37,32.4,24,32,75,10,31,41,14,13,5,12,16,-6
SAS,SAS vs. PHX,05/16/2021,L,240,121,50,98,51,7,24,29.2,14,19,73.7,11,35,46,30,5,5,10,8,-2
MIL,MIL vs. MIA,05/15/2021,W,240,122,46,86,53.5,13,35,37.1,17,24,70.8,5,43,48,29,4,3,11,15,14
MIA,MIA @ MIL,05/15/2021,L,240,108,40,96,41.7,22,49,44.9,6,8,75,9,29,38,25,8,3,11,18,-14
IND,IND vs. LAL,05/15/2021,L,240,115,46,89,51.7,9,33,27.3,14,19,73.7,8,29,37,28,10,8,13,23,-7
LAL,LAL @ IND,05/15/2021,W,240,122,41,86,47.7,11,29,37.9,29,36,80.6,11,34,45,25,5,3,13,15,7
SAS,SAS vs. PHX,05/15/2021,L,240,103,39,88,44.3,4,26,15.4,21,24,87.5,7,34,41,23,5,2,16,17,-37
PHX,PHX @ SAS,05/15/2021,W,240,140,52,94,55.3,15,33,45.5,21,22,95.5,7,40,47,32,10,1,10,15,37
BOS,BOS @ MIN,05/15/2021,W,240,124,46,95,48.4,18,42,42.9,14,18,77.8,9,35,44,27,8,6,15,24,16
MIN,MIN vs. BOS,05/15/2021,L,240,108,39,95,41.1,5,37,13.5,25,34,73.5,20,31,51,22,8,7,13,19,-16
CHI,CHI @ BKN,05/15/2021,L,240,91,34,98,34.7,11,41,26.8,12,17,70.6,19,33,52,24,7,4,9,13,-14
BKN,BKN vs. CHI,05/15/2021,W,240,105,41,87,47.1,14,34,41.2,9,15,60,8,44,52,26,6,8,10,16,14
NYK,NYK vs. CHA,05/15/2021,W,265,118,45,88,51.1,16,37,43.2,12,15,80,7,43,50,29,3,7,10,20,9
CHA,CHA @ NYK,05/15/2021,L,265,109,39,102,38.2,13,49,26.5,18,24,75,15,36,51,28,5,2,8,18,-9
