,mp_team0,fg_team0,fga_team0,fg%_team0,3p_team0,3pa_team0,3p%_team0,ft_team0,fta_team0,ft%_team0,orb_team0,drb_team0,trb_team0,ast_team0,stl_team0,blk_team0,tov_team0,pf_team0,pts_team0,ts%_team0,efg%_team0,3par_team0,ftr_team0,orb%_team0,drb%_team0,trb%_team0,ast%_team0,stl%_team0,blk%_team0,tov%_team0,ortg_team0,drtg_team0,team0,mp_team1,fg_team1,fga_team1,fg%_team1,3p_team1,3pa_team1,3p%_team1,ft_team1,fta_team1,ft%_team1,orb_team1,drb_team1,trb_team1,ast_team1,stl_team1,blk_team1,tov_team1,pf_team1,pts_team1,ts%_team1,efg%_team1,3par_team1,ftr_team1,orb%_team1,drb%_team1,trb%_team1,ast%_team1,stl%_team1,blk%_team1,tov%_team1,ortg_team1,drtg_team1,team1,winner,season,date,team0_encoded,team1_encoded
0,240.0,47.0,97.0,0.485,15.0,41.0,0.366,13.0,19.0,0.684,10.0,33.0,43.0,28.0,9.0,5.0,12.0,16.0,122.0,0.579,0.562,0.423,0.196,22.2,84.6,51.2,59.6,8.8,10.0,10.2,119.6,118.6,HOU,240.0,43.0,80.0,0.538,16.0,30.0,0.533,19.0,21.0,0.905,6.0,35.0,41.0,34.0,5.0,9.0,17.0,25.0,121.0,0.678,0.638,0.375,0.263,15.4,77.8,48.8,79.1,4.9,16.1,16.0,118.6,119.6,GSW,HOU,2018,2017-10-17,29,21
1,240.0,36.0,88.0,0.409,8.0,32.0,0.25,19.0,25.0,0.76,9.0,37.0,46.0,24.0,11.0,4.0,10.0,24.0,99.0,0.5,0.455,0.364,0.284,18.0,80.4,47.9,66.7,11.1,6.6,9.2,99.7,102.7,BOS,240.0,38.0,83.0,0.458,5.0,22.0,0.227,21.0,25.0,0.84,9.0,41.0,50.0,19.0,3.0,4.0,17.0,25.0,102.0,0.543,0.488,0.265,0.301,19.6,82.0,52.1,50.0,3.0,7.1,15.3,102.7,99.7,CLE,CLE,2018,2017-10-17,2,6
2,240.0,33.0,83.0,0.398,12.0,45.0,0.267,27.0,29.0,0.931,12.0,32.0,44.0,19.0,7.0,3.0,14.0,14.0,105.0,0.548,0.47,0.542,0.349,26.7,78.0,51.2,57.6,7.3,4.6,12.8,109.1,103.9,HOU,240.0,42.0,88.0,0.477,8.0,23.0,0.348,8.0,10.0,0.8,9.0,33.0,42.0,19.0,5.0,4.0,17.0,20.0,100.0,0.541,0.523,0.261,0.114,22.0,73.3,48.8,45.2,5.2,10.5,15.5,103.9,109.1,SAC,HOU,2018,2017-10-18,29,23
3,240.0,29.0,73.0,0.397,9.0,30.0,0.3,23.0,29.0,0.793,3.0,44.0,47.0,16.0,4.0,3.0,17.0,15.0,90.0,0.525,0.459,0.411,0.397,7.3,83.0,50.0,55.2,4.1,4.3,16.5,91.4,103.6,CHO,240.0,41.0,96.0,0.427,9.0,26.0,0.346,11.0,12.0,0.917,9.0,38.0,47.0,24.0,14.0,3.0,8.0,21.0,102.0,0.504,0.474,0.271,0.125,17.0,92.7,50.0,58.5,14.2,7.0,7.3,103.6,91.4,DET,DET,2018,2017-10-18,13,8
4,240.0,48.0,94.0,0.511,9.0,18.0,0.5,12.0,15.0,0.8,14.0,36.0,50.0,20.0,11.0,6.0,13.0,18.0,117.0,0.582,0.559,0.191,0.16,30.4,80.0,54.9,41.7,11.2,14.6,11.4,118.7,112.6,ATL,240.0,38.0,86.0,0.442,17.0,45.0,0.378,18.0,21.0,0.857,9.0,32.0,41.0,27.0,5.0,4.0,15.0,19.0,111.0,0.583,0.541,0.523,0.244,20.0,69.6,45.1,71.1,5.1,5.3,13.6,112.6,118.7,DAL,ATL,2018,2017-10-18,12,27
5,240.0,37.0,85.0,0.435,8.0,19.0,0.421,17.0,23.0,0.739,11.0,31.0,42.0,23.0,7.0,4.0,13.0,16.0,99.0,0.52,0.482,0.224,0.271,22.4,72.1,45.7,62.2,7.4,5.9,12.0,104.8,113.3,MIN,240.0,41.0,89.0,0.461,8.0,21.0,0.381,17.0,19.0,0.895,12.0,38.0,50.0,22.0,8.0,11.0,11.0,18.0,107.0,0.55,0.506,0.236,0.213,27.9,77.6,54.3,53.7,8.5,16.7,10.2,113.3,104.8,SAS,SAS,2018,2017-10-18,20,26
6,240.0,43.0,93.0,0.462,15.0,35.0,0.429,14.0,19.0,0.737,11.0,37.0,48.0,25.0,6.0,6.0,17.0,28.0,115.0,0.567,0.543,0.376,0.204,23.4,69.8,48.0,58.1,5.8,8.0,14.4,110.3,115.1,PHI,240.0,42.0,97.0,0.433,6.0,22.0,0.273,30.0,38.0,0.789,16.0,36.0,52.0,21.0,8.0,10.0,9.0,20.0,120.0,0.528,0.464,0.227,0.392,30.2,76.6,52.0,50.0,7.7,17.2,7.3,115.1,110.3,WAS,WAS,2018,2017-10-18,5,14
7,240.0,44.0,101.0,0.436,8.0,30.0,0.267,13.0,17.0,0.765,11.0,33.0,44.0,27.0,6.0,4.0,13.0,20.0,109.0,0.502,0.475,0.297,0.168,22.0,75.0,46.8,61.4,5.7,5.8,10.7,103.6,110.3,MIA,240.0,43.0,90.0,0.478,8.0,21.0,0.381,22.0,29.0,0.759,11.0,39.0,50.0,22.0,8.0,9.0,14.0,18.0,116.0,0.564,0.522,0.233,0.322,25.0,78.0,53.2,51.2,7.6,12.7,12.0,110.3,103.6,ORL,ORL,2018,2017-10-18,11,15
8,240.0,44.0,90.0,0.489,14.0,24.0,0.583,22.0,28.0,0.786,15.0,42.0,57.0,22.0,8.0,7.0,16.0,20.0,124.0,0.606,0.567,0.267,0.311,39.5,80.8,63.3,50.0,8.1,11.3,13.5,125.6,77.0,POR,240.0,28.0,89.0,0.315,7.0,27.0,0.259,13.0,18.0,0.722,10.0,23.0,33.0,10.0,9.0,8.0,16.0,22.0,76.0,0.392,0.354,0.303,0.202,19.2,60.5,36.7,35.7,9.1,12.1,14.2,77.0,125.6,PHO,POR,2018,2017-10-18,17,24
9,240.0,30.0,79.0,0.38,7.0,25.0,0.28,24.0,29.0,0.828,16.0,35.0,51.0,15.0,4.0,12.0,17.0,31.0,91.0,0.496,0.424,0.316,0.367,34.8,70.0,53.1,50.0,4.3,19.0,15.6,97.6,110.4,NOP,240.0,39.0,92.0,0.424,9.0,29.0,0.31,16.0,28.0,0.571,15.0,30.0,45.0,19.0,9.0,8.0,11.0,29.0,103.0,0.494,0.473,0.315,0.304,30.0,65.2,46.9,48.7,9.6,14.8,9.5,110.4,97.6,MEM,MEM,2018,2017-10-18,30,28
