,team0,team1,winner,season,date,team0_encoded,team1_encoded,mp_prev_game_team0,fg_prev_game_team0,fga_prev_game_team0,fg%_prev_game_team0,3p_prev_game_team0,3pa_prev_game_team0,3p%_prev_game_team0,ft_prev_game_team0,fta_prev_game_team0,ft%_prev_game_team0,orb_prev_game_team0,drb_prev_game_team0,trb_prev_game_team0,ast_prev_game_team0,stl_prev_game_team0,blk_prev_game_team0,tov_prev_game_team0,pf_prev_game_team0,pts_prev_game_team0,ts%_prev_game_team0,efg%_prev_game_team0,3par_prev_game_team0,ftr_prev_game_team0,orb%_prev_game_team0,drb%_prev_game_team0,trb%_prev_game_team0,ast%_prev_game_team0,stl%_prev_game_team0,blk%_prev_game_team0,tov%_prev_game_team0,usg%_prev_game_team0,ortg_prev_game_team0,drtg_prev_game_team0,mp_prev_game_team1,fg_prev_game_team1,fga_prev_game_team1,fg%_prev_game_team1,3p_prev_game_team1,3pa_prev_game_team1,3p%_prev_game_team1,ft_prev_game_team1,fta_prev_game_team1,ft%_prev_game_team1,orb_prev_game_team1,drb_prev_game_team1,trb_prev_game_team1,ast_prev_game_team1,stl_prev_game_team1,blk_prev_game_team1,tov_prev_game_team1,pf_prev_game_team1,pts_prev_game_team1,ts%_prev_game_team1,efg%_prev_game_team1,3par_prev_game_team1,ftr_prev_game_team1,orb%_prev_game_team1,drb%_prev_game_team1,trb%_prev_game_team1,ast%_prev_game_team1,stl%_prev_game_team1,blk%_prev_game_team1,tov%_prev_game_team1,usg%_prev_game_team1,ortg_prev_game_team1,drtg_prev_game_team1,team1_winner
0,SAC,DAL,SAC,2018,2017-10-20,23,27,240.0,42.0,88.0,0.477,8.0,23.0,0.348,8.0,10.0,0.8,9.0,33.0,42.0,19.0,5.0,4.0,17.0,20.0,100.0,0.541,0.523,0.261,0.114,22.0,73.3,48.8,45.2,5.2,10.5,15.5,100.0,103.9,109.1,240.0,38.0,86.0,0.442,17.0,45.0,0.378,18.0,21.0,0.857,9.0,32.0,41.0,27.0,5.0,4.0,15.0,19.0,111.0,0.583,0.541,0.523,0.244,20.0,69.6,45.1,71.1,5.1,5.3,13.6,100.0,112.6,118.7,0
1,POR,IND,POR,2018,2017-10-20,17,7,240.0,44.0,90.0,0.489,14.0,24.0,0.583,22.0,28.0,0.786,15.0,42.0,57.0,22.0,8.0,7.0,16.0,20.0,124.0,0.606,0.567,0.267,0.311,39.5,80.8,63.3,50.0,8.1,11.3,13.5,100.0,125.6,77.0,240.0,53.0,102.0,0.52,9.0,34.0,0.265,25.0,32.0,0.781,14.0,33.0,47.0,29.0,12.0,9.0,14.0,25.0,140.0,0.603,0.564,0.333,0.314,30.4,75.0,52.2,54.7,10.6,14.1,10.8,100.0,123.6,115.7,0
2,ORL,BRK,BRK,2018,2017-10-20,15,4,240.0,43.0,90.0,0.478,8.0,21.0,0.381,22.0,29.0,0.759,11.0,39.0,50.0,22.0,8.0,9.0,14.0,18.0,116.0,0.564,0.522,0.233,0.322,25.0,78.0,53.2,51.2,7.6,12.7,12.0,100.0,110.3,103.6,240.0,45.0,94.0,0.479,12.0,30.0,0.4,29.0,32.0,0.906,11.0,32.0,43.0,22.0,7.0,2.0,20.0,25.0,131.0,0.606,0.543,0.319,0.34,25.0,69.6,47.8,48.9,6.2,2.9,15.6,100.0,115.7,123.6,1
3,BOS,PHI,BOS,2018,2017-10-20,2,5,240.0,39.0,91.0,0.429,11.0,28.0,0.393,11.0,21.0,0.524,11.0,32.0,43.0,23.0,12.0,2.0,12.0,27.0,100.0,0.499,0.489,0.308,0.231,22.0,84.2,48.9,59.0,12.3,3.6,10.7,100.0,102.2,110.4,240.0,43.0,93.0,0.462,15.0,35.0,0.429,14.0,19.0,0.737,11.0,37.0,48.0,25.0,6.0,6.0,17.0,28.0,115.0,0.567,0.543,0.376,0.204,23.4,69.8,48.0,58.1,5.8,8.0,14.4,100.0,110.3,115.1,0
4,DET,WAS,WAS,2018,2017-10-20,8,14,240.0,41.0,96.0,0.427,9.0,26.0,0.346,11.0,12.0,0.917,9.0,38.0,47.0,24.0,14.0,3.0,8.0,21.0,102.0,0.504,0.474,0.271,0.125,17.0,92.7,50.0,58.5,14.2,7.0,7.3,100.0,103.6,91.4,240.0,42.0,97.0,0.433,6.0,22.0,0.273,30.0,38.0,0.789,16.0,36.0,52.0,21.0,8.0,10.0,9.0,20.0,120.0,0.528,0.464,0.227,0.392,30.2,76.6,52.0,50.0,7.7,17.2,7.3,100.0,115.1,110.3,1
5,ATL,CHO,CHO,2018,2017-10-20,12,13,240.0,48.0,94.0,0.511,9.0,18.0,0.5,12.0,15.0,0.8,14.0,36.0,50.0,20.0,11.0,6.0,13.0,18.0,117.0,0.582,0.559,0.191,0.16,30.4,80.0,54.9,41.7,11.2,14.6,11.4,100.0,118.7,112.6,240.0,29.0,73.0,0.397,9.0,30.0,0.3,23.0,29.0,0.793,3.0,44.0,47.0,16.0,4.0,3.0,17.0,15.0,90.0,0.525,0.459,0.411,0.397,7.3,83.0,50.0,55.2,4.1,4.3,16.5,100.0,91.4,103.6,1
6,CLE,MIL,CLE,2018,2017-10-20,6,10,240.0,38.0,83.0,0.458,5.0,22.0,0.227,21.0,25.0,0.84,9.0,41.0,50.0,19.0,3.0,4.0,17.0,25.0,102.0,0.543,0.488,0.265,0.301,19.6,82.0,52.1,50.0,3.0,7.1,15.3,100.0,102.7,99.7,240.0,38.0,76.0,0.5,7.0,21.0,0.333,25.0,30.0,0.833,6.0,39.0,45.0,19.0,6.0,4.0,15.0,22.0,108.0,0.605,0.546,0.276,0.395,15.8,78.0,51.1,50.0,6.1,6.3,14.4,100.0,110.4,102.2,0
7,UTA,MIN,MIN,2018,2017-10-20,18,20,240.0,41.0,81.0,0.506,9.0,24.0,0.375,15.0,16.0,0.938,6.0,30.0,36.0,28.0,9.0,5.0,15.0,18.0,106.0,0.602,0.562,0.296,0.198,16.2,81.1,48.6,68.3,9.5,10.0,14.6,100.0,112.2,101.6,240.0,37.0,85.0,0.435,8.0,19.0,0.421,17.0,23.0,0.739,11.0,31.0,42.0,23.0,7.0,4.0,13.0,16.0,99.0,0.52,0.482,0.224,0.271,22.4,72.1,45.7,62.2,7.4,5.9,12.0,100.0,104.8,113.3,1
8,GSW,NOP,GSW,2018,2017-10-20,21,30,240.0,43.0,80.0,0.538,16.0,30.0,0.533,19.0,21.0,0.905,6.0,35.0,41.0,34.0,5.0,9.0,17.0,25.0,121.0,0.678,0.638,0.375,0.263,15.4,77.8,48.8,79.1,4.9,16.1,16.0,100.0,118.6,119.6,240.0,30.0,79.0,0.38,7.0,25.0,0.28,24.0,29.0,0.828,16.0,35.0,51.0,15.0,4.0,12.0,17.0,31.0,91.0,0.496,0.424,0.316,0.367,34.8,70.0,53.1,50.0,4.3,19.0,15.6,100.0,97.6,110.4,0
9,LAL,PHO,LAL,2018,2017-10-20,25,24,240.0,37.0,91.0,0.407,4.0,16.0,0.25,14.0,23.0,0.609,12.0,40.0,52.0,21.0,8.0,7.0,19.0,15.0,92.0,0.455,0.429,0.176,0.253,22.2,70.2,46.8,56.8,7.6,9.5,15.8,100.0,86.9,102.0,240.0,28.0,89.0,0.315,7.0,27.0,0.259,13.0,18.0,0.722,10.0,23.0,33.0,10.0,9.0,8.0,16.0,22.0,76.0,0.392,0.354,0.303,0.202,19.2,60.5,36.7,35.7,9.1,12.1,14.2,100.0,77.0,125.6,0
10,SAS,CHI,SAS,2018,2017-10-21,26,9,240.0,41.0,89.0,0.461,8.0,21.0,0.381,17.0,19.0,0.895,12.0,38.0,50.0,22.0,8.0,11.0,11.0,18.0,107.0,0.55,0.506,0.236,0.213,27.9,77.6,54.3,53.7,8.5,16.7,10.2,100.0,113.3,104.8,240.0,37.0,89.0,0.416,10.0,32.0,0.313,16.0,18.0,0.889,10.0,29.0,39.0,22.0,7.0,2.0,19.0,23.0,100.0,0.516,0.472,0.36,0.202,21.7,69.0,44.3,59.5,7.0,3.7,16.4,100.0,100.1,117.2,0
11,PHI,TOR,TOR,2018,2017-10-21,5,1,240.0,35.0,92.0,0.38,10.0,32.0,0.313,12.0,16.0,0.75,14.0,33.0,47.0,20.0,7.0,4.0,16.0,30.0,92.0,0.464,0.435,0.348,0.174,25.5,70.2,46.1,57.1,7.0,7.3,13.9,100.0,92.4,102.5,240.0,39.0,83.0,0.47,13.0,29.0,0.448,26.0,28.0,0.929,13.0,36.0,49.0,26.0,10.0,4.0,17.0,19.0,117.0,0.614,0.548,0.349,0.337,31.0,78.3,55.7,66.7,10.0,7.0,15.1,100.0,117.2,100.1,1
